[PiCamera @ factory.py:85][DEBUG] 2017-11-10 15:59:42,850: Logging to: logs/2017_Nov_10/PiCamera/15_59_42.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 15:59:42,878: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 15:59:43,143: PiCamera initialized: <picamera.camera.PiCamera object at 0x6df80718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 15:59:43,144: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 15:59:57,120: [log buffer start]
[DEBUG, 1510347594.9361682]: PiCamera image received: ImageMessage(t=1510347594.9361532, n=153)
[DEBUG, 1510347595.0018508]: PiCamera image received: ImageMessage(t=1510347595.0018356, n=154)
[DEBUG, 1510347595.0353727]: PiCamera image received: ImageMessage(t=1510347595.0353575, n=155)
[DEBUG, 1510347595.1409538]: PiCamera image received: ImageMessage(t=1510347595.1409385, n=156)
[DEBUG, 1510347595.2421198]: PiCamera image received: ImageMessage(t=1510347595.2421043, n=157)
[DEBUG, 1510347595.280814]: PiCamera image received: ImageMessage(t=1510347595.2807968, n=158)
[DEBUG, 1510347595.3154314]: PiCamera image received: ImageMessage(t=1510347595.315417, n=159)
[DEBUG, 1510347595.3841374]: PiCamera image received: ImageMessage(t=1510347595.3841221, n=160)
[DEBUG, 1510347595.4819582]: PiCamera image received: ImageMessage(t=1510347595.4819436, n=161)
[DEBUG, 1510347595.5259526]: PiCamera image received: ImageMessage(t=1510347595.525938, n=163)
[DEBUG, 1510347595.624222]: PiCamera image received: ImageMessage(t=1510347595.6242082, n=164)
[DEBUG, 1510347595.7222428]: PiCamera image received: ImageMessage(t=1510347595.7222278, n=165)
[DEBUG, 1510347595.8254848]: PiCamera image received: ImageMessage(t=1510347595.8254664, n=166)
[DEBUG, 1510347595.9339998]: PiCamera image received: ImageMessage(t=1510347595.9339542, n=167)
[DEBUG, 1510347595.9703608]: PiCamera image received: ImageMessage(t=1510347595.9703448, n=168)
[DEBUG, 1510347596.0529354]: PiCamera image received: ImageMessage(t=1510347596.05289, n=169)
[DEBUG, 1510347596.0855815]: PiCamera image received: ImageMessage(t=1510347596.0855665, n=170)
[DEBUG, 1510347596.1615365]: PiCamera image received: ImageMessage(t=1510347596.1615188, n=172)
[DEBUG, 1510347596.260716]: PiCamera image received: ImageMessage(t=1510347596.2606993, n=173)
[DEBUG, 1510347596.3699036]: PiCamera image received: ImageMessage(t=1510347596.3698854, n=174)
[DEBUG, 1510347596.4373748]: PiCamera image received: ImageMessage(t=1510347596.437361, n=175)
[DEBUG, 1510347596.4707074]: PiCamera image received: ImageMessage(t=1510347596.4706922, n=176)
[DEBUG, 1510347596.5067823]: PiCamera image received: ImageMessage(t=1510347596.5067687, n=177)
[DEBUG, 1510347596.6518972]: PiCamera image received: ImageMessage(t=1510347596.6518803, n=178)
[DEBUG, 1510347596.7172263]: PiCamera image received: ImageMessage(t=1510347596.7172105, n=179)
[DEBUG, 1510347596.7827897]: PiCamera image received: ImageMessage(t=1510347596.782774, n=180)
[DEBUG, 1510347596.8819604]: PiCamera image received: ImageMessage(t=1510347596.8819456, n=181)
[DEBUG, 1510347596.9796193]: PiCamera image received: ImageMessage(t=1510347596.9796033, n=182)
[DEBUG, 1510347597.012735]: PiCamera image received: ImageMessage(t=1510347597.0127194, n=183)
[DEBUG, 1510347597.1204526]: PiCamera image received: ImageMessage(t=1510347597.1204371, n=184)
[log buffer end]
[PiCamera @ node.py:81][DEBUG] 2017-11-10 15:59:57,122: logging message buffer (len=16460)
[PiCamera @ node.py:79][DEBUG] 2017-11-10 16:00:07,119: [log buffer start]
[DEBUG, 1510347597.1572325]: PiCamera image received: ImageMessage(t=1510347597.1572175, n=185)
[DEBUG, 1510347597.2558146]: PiCamera image received: ImageMessage(t=1510347597.2557995, n=186)
[DEBUG, 1510347597.3540044]: PiCamera image received: ImageMessage(t=1510347597.3539867, n=187)
[DEBUG, 1510347597.4634616]: PiCamera image received: ImageMessage(t=1510347597.463446, n=188)
[DEBUG, 1510347597.4961588]: PiCamera image received: ImageMessage(t=1510347597.496143, n=189)
[DEBUG, 1510347597.5634644]: PiCamera image received: ImageMessage(t=1510347597.5634496, n=190)
[DEBUG, 1510347597.5958562]: PiCamera image received: ImageMessage(t=1510347597.595842, n=191)
[DEBUG, 1510347597.634134]: PiCamera image received: ImageMessage(t=1510347597.634117, n=192)
[DEBUG, 1510347597.7321196]: PiCamera image received: ImageMessage(t=1510347597.7321033, n=193)
[DEBUG, 1510347597.7660482]: PiCamera image received: ImageMessage(t=1510347597.7660327, n=194)
[DEBUG, 1510347597.8696668]: PiCamera image received: ImageMessage(t=1510347597.8696518, n=195)
[DEBUG, 1510347597.905014]: PiCamera image received: ImageMessage(t=1510347597.9050004, n=196)
[DEBUG, 1510347597.9729655]: PiCamera image received: ImageMessage(t=1510347597.972948, n=197)
[DEBUG, 1510347598.072586]: PiCamera image received: ImageMessage(t=1510347598.07257, n=198)
[DEBUG, 1510347598.1069684]: PiCamera image received: ImageMessage(t=1510347598.106951, n=199)
[DEBUG, 1510347598.1462772]: PiCamera image received: ImageMessage(t=1510347598.1462605, n=200)
[DEBUG, 1510347598.179165]: PiCamera image received: ImageMessage(t=1510347598.1791487, n=201)
[DEBUG, 1510347598.2769594]: PiCamera image received: ImageMessage(t=1510347598.2769444, n=202)
[DEBUG, 1510347598.346975]: PiCamera image received: ImageMessage(t=1510347598.34696, n=203)
[DEBUG, 1510347598.447955]: PiCamera image received: ImageMessage(t=1510347598.44794, n=204)
[DEBUG, 1510347598.5537887]: PiCamera image received: ImageMessage(t=1510347598.5537734, n=205)
[DEBUG, 1510347598.621238]: PiCamera image received: ImageMessage(t=1510347598.6212232, n=206)
[DEBUG, 1510347598.6546218]: PiCamera image received: ImageMessage(t=1510347598.6546066, n=207)
[DEBUG, 1510347598.687854]: PiCamera image received: ImageMessage(t=1510347598.687839, n=208)
[DEBUG, 1510347598.78603]: PiCamera image received: ImageMessage(t=1510347598.7860122, n=209)
[DEBUG, 1510347598.8966346]: PiCamera image received: ImageMessage(t=1510347598.896618, n=210)
[DEBUG, 1510347598.9696298]: PiCamera image received: ImageMessage(t=1510347598.9696133, n=211)
[DEBUG, 1510347599.0691104]: PiCamera image received: ImageMessage(t=1510347599.0690963, n=212)
[DEBUG, 1510347599.1672988]: PiCamera image received: ImageMessage(t=1510347599.1672804, n=213)
[DEBUG, 1510347599.2009137]: PiCamera image received: ImageMessage(t=1510347599.200899, n=214)
[DEBUG, 1510347599.3073957]: PiCamera image received: ImageMessage(t=1510347599.3073807, n=216)
[DEBUG, 1510347599.4076445]: PiCamera image received: ImageMessage(t=1510347599.4076297, n=217)
[DEBUG, 1510347599.473989]: PiCamera image received: ImageMessage(t=1510347599.4739738, n=218)
[DEBUG, 1510347599.5728214]: PiCamera image received: ImageMessage(t=1510347599.5728064, n=219)
[DEBUG, 1510347599.6056921]: PiCamera image received: ImageMessage(t=1510347599.6056771, n=220)
[DEBUG, 1510347599.7104785]: PiCamera image received: ImageMessage(t=1510347599.7104633, n=222)
[DEBUG, 1510347599.7814083]: PiCamera image received: ImageMessage(t=1510347599.7813754, n=223)
[DEBUG, 1510347599.8470552]: PiCamera image received: ImageMessage(t=1510347599.8470392, n=224)
[DEBUG, 1510347599.8823235]: PiCamera image received: ImageMessage(t=1510347599.8823075, n=225)
[DEBUG, 1510347599.9924242]: PiCamera image received: ImageMessage(t=1510347599.9924064, n=226)
[DEBUG, 1510347600.0263064]: PiCamera image received: ImageMessage(t=1510347600.0262907, n=227)
[DEBUG, 1510347600.0921128]: PiCamera image received: ImageMessage(t=1510347600.0920978, n=228)
[DEBUG, 1510347600.1901832]: PiCamera image received: ImageMessage(t=1510347600.1901681, n=229)
[DEBUG, 1510347600.223725]: PiCamera image received: ImageMessage(t=1510347600.2237093, n=230)
[DEBUG, 1510347600.2569292]: PiCamera image received: ImageMessage(t=1510347600.2569132, n=231)
[DEBUG, 1510347600.3545]: PiCamera image received: ImageMessage(t=1510347600.3544836, n=232)
[DEBUG, 1510347600.388322]: PiCamera image received: ImageMessage(t=1510347600.3883076, n=233)
[DEBUG, 1510347600.4943588]: PiCamera image received: ImageMessage(t=1510347600.4943428, n=235)
[DEBUG, 1510347600.5623472]: PiCamera image received: ImageMessage(t=1510347600.5623317, n=236)
[DEBUG, 1510347600.5956678]: PiCamera image received: ImageMessage(t=1510347600.5956528, n=237)
[DEBUG, 1510347600.628878]: PiCamera image received: ImageMessage(t=1510347600.6288633, n=238)
[DEBUG, 1510347600.7283313]: PiCamera image received: ImageMessage(t=1510347600.728316, n=239)
[DEBUG, 1510347600.7639027]: PiCamera image received: ImageMessage(t=1510347600.763888, n=240)
[DEBUG, 1510347600.8683996]: PiCamera image received: ImageMessage(t=1510347600.8683844, n=241)
[DEBUG, 1510347600.9672346]: PiCamera image received: ImageMessage(t=1510347600.967218, n=242)
[DEBUG, 1510347601.0349672]: PiCamera image received: ImageMessage(t=1510347601.0349526, n=243)
