[PiCamera @ factory.py:85][DEBUG] 2017-11-10 19:52:25,666: Logging to: logs/2017_Nov_10/PiCamera/19_52_25.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 19:52:25,696: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 19:52:25,961: PiCamera initialized: <picamera.camera.PiCamera object at 0x6deb1718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 19:52:25,962: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 19:52:39,418: [log buffer start]
[DEBUG, 1510361557.827711]: PiCamera image received: ImageMessage(t=1510361557.8276956, n=158)
[DEBUG, 1510361557.9371593]: PiCamera image received: ImageMessage(t=1510361557.9371438, n=159)
[DEBUG, 1510361558.0029569]: PiCamera image received: ImageMessage(t=1510361558.002941, n=160)
[DEBUG, 1510361558.0363104]: PiCamera image received: ImageMessage(t=1510361558.0362952, n=161)
[DEBUG, 1510361558.0692809]: PiCamera image received: ImageMessage(t=1510361558.0692658, n=162)
[DEBUG, 1510361558.2018673]: PiCamera image received: ImageMessage(t=1510361558.2018518, n=163)
[DEBUG, 1510361558.2359622]: PiCamera image received: ImageMessage(t=1510361558.2359478, n=164)
[DEBUG, 1510361558.2755094]: PiCamera image received: ImageMessage(t=1510361558.2754931, n=165)
[DEBUG, 1510361558.315172]: PiCamera image received: ImageMessage(t=1510361558.315156, n=166)
[DEBUG, 1510361558.3487086]: PiCamera image received: ImageMessage(t=1510361558.3486938, n=167)
[DEBUG, 1510361558.4141066]: PiCamera image received: ImageMessage(t=1510361558.414091, n=168)
[DEBUG, 1510361558.4473317]: PiCamera image received: ImageMessage(t=1510361558.4473166, n=169)
[DEBUG, 1510361558.4809563]: PiCamera image received: ImageMessage(t=1510361558.4809408, n=170)
[DEBUG, 1510361558.578455]: PiCamera image received: ImageMessage(t=1510361558.5784378, n=171)
[DEBUG, 1510361558.6847007]: PiCamera image received: ImageMessage(t=1510361558.6846838, n=172)
[DEBUG, 1510361558.750714]: PiCamera image received: ImageMessage(t=1510361558.750696, n=173)
[DEBUG, 1510361558.8284163]: PiCamera image received: ImageMessage(t=1510361558.8284006, n=174)
[DEBUG, 1510361558.9380043]: PiCamera image received: ImageMessage(t=1510361558.9379015, n=175)
[DEBUG, 1510361559.0438073]: PiCamera image received: ImageMessage(t=1510361559.04379, n=176)
[DEBUG, 1510361559.1114051]: PiCamera image received: ImageMessage(t=1510361559.1113899, n=177)
[DEBUG, 1510361559.1871016]: PiCamera image received: ImageMessage(t=1510361559.1870859, n=178)
[DEBUG, 1510361559.253551]: PiCamera image received: ImageMessage(t=1510361559.2535343, n=179)
[DEBUG, 1510361559.2871447]: PiCamera image received: ImageMessage(t=1510361559.2871294, n=180)
[DEBUG, 1510361559.352793]: PiCamera image received: ImageMessage(t=1510361559.3527775, n=181)
[DEBUG, 1510361559.4179466]: PiCamera image received: ImageMessage(t=1510361559.4179308, n=182)
