[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:48:30,950: Logging to: logs/2017_Oct_27/PiCamera/15_48_30.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:48:30,992: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:48:31,258: PiCamera initialized: <picamera.camera.PiCamera object at 0x6ff00ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:48:31,259: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:48:33,291: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_48_30.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:48:43,236: [log buffer start]
[DEBUG, 1509133723.6229138]: PiCamera image received: ImageMessage(t=1509133723.6228979, n=181)
[DEBUG, 1509133723.6573343]: PiCamera image received: ImageMessage(t=1509133723.657321, n=182)
[DEBUG, 1509133723.7217362]: PiCamera image received: ImageMessage(t=1509133723.7217193, n=183)
[DEBUG, 1509133723.7870479]: PiCamera image received: ImageMessage(t=1509133723.78703, n=184)
[DEBUG, 1509133723.8195608]: PiCamera image received: ImageMessage(t=1509133723.8195457, n=185)
[DEBUG, 1509133723.8858812]: PiCamera image received: ImageMessage(t=1509133723.8858647, n=186)
[DEBUG, 1509133723.919074]: PiCamera image received: ImageMessage(t=1509133723.9190583, n=187)
[DEBUG, 1509133723.9526987]: PiCamera image received: ImageMessage(t=1509133723.952675, n=188)
[DEBUG, 1509133723.9856093]: PiCamera image received: ImageMessage(t=1509133723.9855933, n=189)
[DEBUG, 1509133724.026006]: PiCamera image received: ImageMessage(t=1509133724.0259929, n=190)
[DEBUG, 1509133724.0590003]: PiCamera image received: ImageMessage(t=1509133724.0589857, n=191)
[DEBUG, 1509133724.1326246]: PiCamera image received: ImageMessage(t=1509133724.1326106, n=192)
[DEBUG, 1509133724.1648328]: PiCamera image received: ImageMessage(t=1509133724.1648169, n=193)
[DEBUG, 1509133724.240615]: PiCamera image received: ImageMessage(t=1509133724.2405996, n=194)
[DEBUG, 1509133724.2736883]: PiCamera image received: ImageMessage(t=1509133724.273674, n=195)
[DEBUG, 1509133724.340009]: PiCamera image received: ImageMessage(t=1509133724.3399947, n=196)
[DEBUG, 1509133724.3731785]: PiCamera image received: ImageMessage(t=1509133724.373164, n=197)
[DEBUG, 1509133724.4055667]: PiCamera image received: ImageMessage(t=1509133724.4055521, n=198)
[DEBUG, 1509133724.471663]: PiCamera image received: ImageMessage(t=1509133724.4716477, n=199)
[DEBUG, 1509133724.5046504]: PiCamera image received: ImageMessage(t=1509133724.5046346, n=200)
[DEBUG, 1509133724.5384033]: PiCamera image received: ImageMessage(t=1509133724.538388, n=201)
[DEBUG, 1509133724.6068652]: PiCamera image received: ImageMessage(t=1509133724.6068501, n=202)
[DEBUG, 1509133724.6809897]: PiCamera image received: ImageMessage(t=1509133724.680975, n=203)
[DEBUG, 1509133724.721109]: PiCamera image received: ImageMessage(t=1509133724.721095, n=204)
[DEBUG, 1509133724.753532]: PiCamera image received: ImageMessage(t=1509133724.7535162, n=205)
[DEBUG, 1509133724.8312821]: PiCamera image received: ImageMessage(t=1509133724.831267, n=206)
[DEBUG, 1509133724.8669324]: PiCamera image received: ImageMessage(t=1509133724.8669171, n=207)
[DEBUG, 1509133724.9009879]: PiCamera image received: ImageMessage(t=1509133724.9009726, n=208)
[DEBUG, 1509133724.9367328]: PiCamera image received: ImageMessage(t=1509133724.9367163, n=209)
[DEBUG, 1509133725.0016892]: PiCamera image received: ImageMessage(t=1509133725.001675, n=210)
[DEBUG, 1509133725.0361142]: PiCamera image received: ImageMessage(t=1509133725.0360987, n=211)
[DEBUG, 1509133725.1006613]: PiCamera image received: ImageMessage(t=1509133725.1006474, n=212)
